state_id,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp,pop2000,Bj_p25_czkir26_f_cc2,Bj_p25_czkir26_m_cc2,cs_race_bla,cs_race_theil_2000,cs00_seg_inc_pov25,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,eitc_exposure,tax_st_diff_top20,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_elf_ind_man,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,crime_violent,cs_fam_wkidsinglemom,cs_race_bla_st,cs00_seg_inc_pov25_st,cs_fam_wkidsinglemom_st,e_rank_b_kir26_f_p25,e_rank_b_kir26_m_p25,q1_dif,q2_dif,q3_dif,q4_dif,q5_dif,all_q_dif
New Mexico,0.715,0.722,0.754,0.777,0.773,0.827,0.792,0.849,0.798,0.85,0.001,0.001,0,0,0.001,0,0.001,0,0.001,0.001,0.72,0.717,0.761,0.766,0.774,0.823,0.764,0.816,0.775,0.804,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.003,0.004,0.004,0.705,0.733,0.749,0.782,0.773,0.828,0.795,0.853,0.8,0.854,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,1668529,0.02,-0.014,0.018,0.165,0.059,0.385,33188.262,0.45,9.947,0,0,17.35,-12.456,0.012,0.022,2958.456,-0.132,0.063,0.487,0.026,0.024,0.073,-0.582,0.002,0.232,-1.026,-0.661,0.354,40.036,47.569,0.007,0.023,0.054,0.057,0.052,0.039
New York,0.727,0.703,0.78,0.762,0.811,0.808,0.844,0.85,0.865,0.87,0,0,0,0,0,0,0,0,0,0,0.743,0.693,0.781,0.743,0.809,0.773,0.837,0.802,0.825,0.807,0,0,0,0,0,0,0,0.001,0.001,0.001,0.695,0.723,0.779,0.791,0.812,0.83,0.845,0.858,0.867,0.873,0,0,0,0,0,0,0,0,0,0,18697581,0.017,0.09,0.149,0.329,0.1,0.229,42343.501,0.577,22.153,6.905,0,17.58,0.242,0.003,0.015,9094.272,-0.033,0.099,0.429,0.011,0.019,0.204,-0.613,0.003,0.259,0.28,0.724,1.106,46.966,46.784,-0.024,-0.018,-0.003,0.006,0.005,-0.007
North Carolina,0.712,0.618,0.754,0.714,0.781,0.79,0.817,0.845,0.838,0.858,0,0,0,0,0,0,0,0,0,0,0.716,0.61,0.767,0.697,0.785,0.767,0.8,0.803,0.818,0.813,0,0,0,0,0.001,0.001,0.002,0.002,0.004,0.004,0.692,0.651,0.736,0.739,0.78,0.797,0.818,0.848,0.839,0.86,0.001,0.001,0,0,0,0,0,0,0,0,8370501,-0.161,-0.254,0.215,0.177,0.057,0.298,36142.454,0.488,14.45,0,1,16.271,-0.948,0.022,0.015,4791.674,-0.004,0.201,0.376,0.025,0.021,0.052,-0.741,0.003,0.229,0.94,-0.717,0.277,39.894,40.62,-0.094,-0.04,0.009,0.028,0.02,-0.015
North Dakota,0.819,0.857,0.844,0.879,0.863,0.897,0.872,0.908,0.877,0.899,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.831,0.874,0.813,0.906,0.858,0.896,0.89,0.894,0.846,0.875,0.002,0.002,0.002,0.001,0.003,0.002,0.004,0.004,0.008,0.007,0.81,0.844,0.856,0.871,0.864,0.898,0.873,0.909,0.877,0.898,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,751725,-0.513,0.47,0.006,0.103,0.036,0.584,33066.741,0.337,9.837,0,3.44,16.646,6.792,-0.019,0.033,3317.003,0.01,0.073,0.625,0.015,0.017,0.019,1.886,0,0.167,-1.146,-1.442,-1.417,47.315,57.684,0.038,0.035,0.034,0.036,0.022,0.033
Ohio,0.703,0.665,0.762,0.772,0.803,0.842,0.841,0.881,0.857,0.887,0,0,0,0,0,0,0,0,0,0,0.708,0.647,0.771,0.749,0.802,0.806,0.831,0.832,0.831,0.839,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.687,0.713,0.753,0.794,0.804,0.851,0.842,0.885,0.858,0.889,0,0,0,0,0,0,0,0,0,0,11957831,0.107,0.274,0.109,0.313,0.082,0.314,38886.606,0.415,11.941,0,2.66,18.929,5.918,-0.014,0.015,7446.253,0.007,0.201,0.494,0.013,0.015,0.029,0.578,0.002,0.227,-0.112,0.122,0.233,39.834,43.839,-0.038,0.01,0.039,0.04,0.03,0.016
Oklahoma,0.705,0.72,0.751,0.799,0.766,0.842,0.798,0.87,0.808,0.877,0,0,0,0,0,0,0,0,0.001,0.001,0.714,0.714,0.768,0.783,0.769,0.814,0.777,0.848,0.77,0.859,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.002,0.001,0.686,0.73,0.739,0.807,0.763,0.848,0.8,0.871,0.808,0.877,0.001,0.001,0,0,0,0,0,0,0.001,0.001,3167577,0.209,0.2,0.08,0.142,0.061,0.369,32730.355,0.456,11.958,0,0,16.613,-3.448,0.01,0.014,3251.65,-0.061,0.123,0.436,0.018,0.019,0.041,-0.376,0.002,0.218,-0.406,-0.575,-0.019,38.93,47.633,0.015,0.048,0.076,0.072,0.069,0.056
Oregon,0.667,0.695,0.704,0.77,0.739,0.805,0.76,0.842,0.791,0.85,0,0,0,0,0,0,0,0,0,0,0.671,0.689,0.711,0.761,0.746,0.785,0.753,0.793,0.811,0.807,0.001,0,0.001,0,0.001,0.001,0.002,0.002,0.002,0.002,0.66,0.707,0.699,0.775,0.736,0.811,0.76,0.845,0.79,0.852,0.001,0.001,0,0,0,0,0,0,0,0,3624140,-0.103,0.15,0.016,0.091,0.053,0.342,38200.631,0.412,13.062,1.19,0,20.954,-2.27,0.017,0.013,5858.51,-0.078,0.146,0.4,0.028,0.023,0.085,0.187,0.001,0.2,-1.042,-0.86,-0.517,40.713,47.334,0.028,0.066,0.066,0.082,0.059,0.06
Pennsylvania,0.728,0.703,0.777,0.776,0.816,0.84,0.853,0.882,0.868,0.889,0,0,0,0,0,0,0,0,0,0,0.736,0.695,0.788,0.759,0.815,0.807,0.849,0.844,0.865,0.843,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.718,0.73,0.769,0.797,0.817,0.852,0.854,0.885,0.868,0.89,0,0,0,0,0,0,0,0,0,0,14075802,0.172,-0.02,0.104,0.296,0.079,0.3,39386.88,0.437,13.153,0,0,18.407,1.1,-0.001,0.017,9677.29,0.08,0.152,0.473,0.014,0.013,0.044,0.335,0.002,0.21,-0.162,0.017,-0.247,44.745,48.716,-0.025,-0.001,0.024,0.029,0.021,0.01
Rhode Island,0.747,0.718,0.806,0.788,0.836,0.817,0.87,0.864,0.883,0.878,0,0,0,0,0,0,0,0,0,0,0.752,0.718,0.806,0.774,0.827,0.813,0.866,0.83,0.851,0.835,0,0,0,0,0,0,0,0,0.001,0.001,0.734,0.72,0.805,0.802,0.839,0.818,0.87,0.866,0.884,0.88,0,0,0,0,0,0,0,0,0,0,1582997,-0.152,0.03,0.033,0.23,0.085,0.328,39543.27,0.426,13.552,19.048,6.15,14.765,-2.206,0.008,0.004,11923.621,0.097,0.171,0.572,0.014,0.019,0.115,-0.389,0.002,0.248,-0.876,0.225,0.8,47.036,49.629,-0.029,-0.018,-0.019,-0.006,-0.005,-0.015
South Carolina,0.735,0.656,0.767,0.74,0.787,0.814,0.819,0.855,0.838,0.856,0,0,0,0,0,0,0,0,0,0,0.741,0.648,0.785,0.725,0.794,0.776,0.793,0.819,0.823,0.802,0,0,0,0,0.001,0.001,0.002,0.002,0.004,0.005,0.709,0.682,0.744,0.76,0.784,0.825,0.82,0.857,0.838,0.858,0.001,0.001,0,0,0,0,0,0,0,0,3461541,-0.136,-0.28,0.298,0.175,0.062,0.301,33601.413,0.504,12.945,0,0,16.32,-3.208,-0.009,0.015,5161.798,0.007,0.195,0.387,0.02,0.017,0.029,-1.449,0.003,0.268,1.769,-0.54,1.34,39.7,41.08,-0.079,-0.027,0.027,0.036,0.018,-0.005
South Dakota,0.798,0.814,0.826,0.856,0.846,0.891,0.888,0.894,0.887,0.888,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.785,0.811,0.814,0.877,0.846,0.898,0.913,0.867,0.818,0.869,0.004,0.003,0.003,0.002,0.003,0.003,0.004,0.006,0.01,0.009,0.808,0.819,0.831,0.85,0.843,0.892,0.887,0.897,0.888,0.888,0.004,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,761641,0.72,1.265,0.006,0.116,0.037,0.548,32828.879,0.361,10.074,0,0,16.177,3.579,-0.005,0.04,4467.18,0.025,0.103,0.684,0.014,0.014,0.017,1.578,0.001,0.186,-1.142,-1.398,-0.904,46.112,53.112,0.016,0.03,0.045,0.006,0.001,0.02
Tennessee,0.695,0.645,0.742,0.745,0.777,0.815,0.815,0.855,0.824,0.859,0,0,0,0,0,0,0,0,0,0,0.708,0.643,0.76,0.732,0.796,0.791,0.827,0.813,0.808,0.816,0,0,0.001,0.001,0.001,0.001,0.003,0.002,0.003,0.003,0.669,0.659,0.72,0.762,0.771,0.825,0.815,0.858,0.825,0.861,0.001,0.001,0,0,0,0,0,0,0,0,6112509,-0.056,-0.073,0.163,0.214,0.072,0.282,34685.14,0.492,14.539,0,0,18.608,-6.095,0.002,0.015,5253.47,-0.036,0.19,0.394,0.018,0.016,0.027,-0.609,0.002,0.232,0.419,-0.21,0.371,38.17,41.324,-0.05,0.003,0.038,0.04,0.035,0.013
Texas,0.744,0.714,0.773,0.785,0.79,0.826,0.806,0.856,0.814,0.859,0,0,0,0,0,0,0,0,0,0,0.748,0.705,0.784,0.767,0.8,0.798,0.808,0.814,0.798,0.833,0,0,0,0,0.001,0.001,0.001,0.001,0.003,0.002,0.735,0.741,0.763,0.805,0.785,0.835,0.806,0.86,0.815,0.861,0,0,0,0,0,0,0,0,0,0,21069355,-0.036,-0.01,0.113,0.21,0.084,0.291,35455.21,0.525,15.641,0,0,16.026,-0.152,0.002,0.009,3392.453,-0.11,0.117,0.363,0.026,0.024,0.139,-1.243,0.002,0.208,-0.077,0.204,-0.295,41.989,46.657,-0.03,0.012,0.036,0.05,0.045,0.023
Utah,0.666,0.795,0.667,0.837,0.657,0.885,0.648,0.895,0.618,0.883,0.001,0,0,0,0,0,0,0,0,0,0.695,0.784,0.709,0.828,0.71,0.855,0.719,0.86,0.713,0.857,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.003,0.002,0.624,0.81,0.637,0.843,0.649,0.889,0.645,0.896,0.616,0.885,0.001,0.001,0,0,0,0,0,0,0,0,2225282,-0.024,-0.146,0.007,0.093,0.083,0.372,34184.18,0.359,13.301,0,0,22.095,-4.99,0.001,0.01,3300.451,-0.034,0.121,0.536,0.03,0.029,0.071,-0.659,0.001,0.134,-1.129,0.154,-2.336,38.65,52.282,0.129,0.17,0.228,0.247,0.265,0.208
Vermont,0.753,0.741,0.772,0.796,0.823,0.852,0.856,0.868,0.873,0.875,0,0,0,0,0,0,0,0,0,0,0.742,0.742,0.794,0.806,0.853,0.811,0.784,0.885,0.826,0.825,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.003,0.004,0.005,0.77,0.741,0.758,0.79,0.817,0.86,0.858,0.867,0.876,0.878,0.001,0.001,0,0,0,0,0,0,0,0,682929,-0.04,-0.454,0.005,0.039,0.038,0.382,36862.469,0.401,11.472,21.333,5.9,14.59,6.204,0,0.014,14066.787,0.195,0.158,0.64,0.016,0.015,0.039,0.683,0.001,0.19,-1.156,-1.367,-0.795,44.54,50.717,-0.012,0.024,0.029,0.012,0.002,0.011
Virginia,0.755,0.665,0.789,0.763,0.813,0.83,0.846,0.866,0.855,0.88,0,0,0,0,0,0,0,0,0,0,0.762,0.656,0.802,0.749,0.826,0.801,0.828,0.802,0.858,0.816,0,0,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.733,0.703,0.777,0.782,0.81,0.839,0.848,0.87,0.855,0.881,0.001,0.001,0,0,0,0,0,0,0,0,5130298,0.006,-0.161,0.226,0.169,0.075,0.282,35989.499,0.433,10.254,0,0,15.606,3.475,-0.006,0.016,4336.809,0.075,0.139,0.44,0.021,0.018,0.035,-0.44,0.001,0.234,1.047,-0.11,0.423,41.75,43.244,-0.09,-0.026,0.017,0.02,0.025,-0.011
Washington,0.69,0.701,0.731,0.778,0.751,0.816,0.775,0.843,0.804,0.861,0,0,0,0,0,0,0,0,0,0,0.692,0.691,0.735,0.768,0.754,0.782,0.759,0.808,0.778,0.785,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.687,0.722,0.729,0.787,0.75,0.827,0.776,0.847,0.805,0.864,0.001,0.001,0,0,0,0,0,0,0,0,5817472,0.142,0.171,0.031,0.108,0.066,0.305,40752.428,0.416,15.664,0,0,20.807,-0.019,0.012,0.011,5080.805,0.031,0.121,0.391,0.024,0.022,0.103,-0.082,0.002,0.198,-0.893,-0.426,-0.581,43.092,49.171,0.011,0.047,0.065,0.068,0.057,0.05
West Virginia,0.649,0.751,0.709,0.84,0.755,0.871,0.804,0.899,0.839,0.892,0.001,0,0,0,0,0,0,0,0.001,0.001,0.677,0.739,0.732,0.823,0.758,0.86,0.767,0.866,0.782,0.88,0.001,0.001,0.002,0.002,0.004,0.002,0.005,0.004,0.008,0.006,0.623,0.762,0.702,0.846,0.754,0.873,0.806,0.901,0.84,0.895,0.001,0.001,0.001,0,0,0,0.001,0,0.001,0.001,1414944,-0.471,0.978,0.03,0.119,0.034,0.323,30138.144,0.426,10.306,0,2.5,15.979,-5.41,-0.003,0.025,5210.251,-0.031,0.106,0.321,0.007,0.008,0.01,-0.012,0.001,0.198,-0.905,-1.489,-0.567,35.506,48.325,0.102,0.131,0.116,0.095,0.053,0.099
Wisconsin,0.77,0.737,0.818,0.809,0.849,0.865,0.878,0.895,0.885,0.9,0,0,0,0,0,0,0,0,0,0,0.767,0.731,0.829,0.799,0.847,0.838,0.862,0.847,0.847,0.866,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0.002,0.78,0.76,0.811,0.827,0.848,0.871,0.879,0.897,0.885,0.901,0.001,0.001,0,0,0,0,0,0,0,0,5234799,-0.195,0.264,0.057,0.227,0.067,0.393,39147.33,0.371,12.593,11.667,0.25,16.462,0.918,-0.012,0.012,6216.47,0.045,0.223,0.617,0.017,0.017,0.037,1.201,0,0.194,-0.63,-0.39,-0.671,45.489,49.137,-0.033,-0.009,0.016,0.017,0.015,0.001
Wyoming,0.756,0.837,0.747,0.876,0.772,0.905,0.78,0.895,0.819,0.887,0.003,0.002,0.002,0.001,0.001,0,0.001,0.001,0.002,0.001,0.756,0.826,0.788,0.902,0.817,0.891,0.795,0.81,0,0,0.004,0.003,0.005,0.003,0.005,0.003,0.008,0.006,0,0,0.737,0.83,0.726,0.863,0.764,0.906,0.778,0.899,0.819,0.884,0.005,0.003,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.001,530830,-0.292,0.882,0.007,0.085,0.03,0.585,34027.664,0.387,14.088,0,0,15.754,1.763,0.022,0.023,1248.58,-0.07,0.049,0.643,0.019,0.021,0.023,0.361,0.001,0.183,-1.135,-1.637,-0.973,41.331,56.451,0.081,0.129,0.133,0.115,0.068,0.105
